사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6477213,2018091,1111017400,11110001  ,서울특별시 종로구1,서울특별시 종로구 창신동(동묘앞역 부근),3,4,0,2,2,0,127.0150171,37.57307474,"{""type"":""Polygon"",""coordinates"":[[[127.0168137,37.57307474],[127.01677917,37.57279693],[127.01667694,37.57252981],[127.01651091,37.57228362],[127.01628748,37.57206783],[127.01601522,37.57189074],[127.01570461,37.57175915],[127.01536757,37.57167812],[127.01501707,37.57165076],[127.01466656,37.57167812],[127.01432952,37.57175915],[127.01401891,37.57189074],[127.01374666,37.57206783],[127.01352322,37.57228362],[127.0133572,37.57252981],[127.01325496,37.57279693],[127.01322044,37.57307474],[127.01325496,37.57335254],[127.0133572,37.57361966],[127.01352322,37.57386584],[127.01374666,37.57408163],[127.01401891,37.57425871],[127.01432952,37.5743903],[127.01466656,37.57447133],[127.01501707,37.57449869],[127.01536757,37.57447133],[127.01570461,37.5743903],[127.01601522,37.57425871],[127.01628748,37.57408163],[127.01651091,37.57386584],[127.01667694,37.57361966],[127.01677917,37.57335254],[127.0168137,37.57307474]]]}"
6477424,2018091,1114010500,11140001  ,서울특별시 중구1,서울특별시 중구 을지로2가(을지로1가을지로진출1 부근),3,5,0,2,3,0,126.9838589,37.56615707,"{""type"":""Polygon"",""coordinates"":[[[126.98565558,37.56615707],[126.98562106,37.56587924],[126.98551882,37.56561209],[126.98535279,37.56536588],[126.98512936,37.56515008],[126.9848571,37.56497297],[126.98454649,37.56484137],[126.98420945,37.56476032],[126.98385895,37.56473296],[126.98350844,37.56476032],[126.98317141,37.56484137],[126.98286079,37.56497297],[126.98258854,37.56515008],[126.9823651,37.56536588],[126.98219908,37.56561209],[126.98209684,37.56587924],[126.98206232,37.56615707],[126.98209684,37.5664349],[126.98219908,37.56670205],[126.9823651,37.56694826],[126.98258854,37.56716406],[126.98286079,37.56734116],[126.98317141,37.56747276],[126.98350844,37.5675538],[126.98385895,37.56758116],[126.98420945,37.5675538],[126.98454649,37.56747276],[126.9848571,37.56734116],[126.98512936,37.56716406],[126.98535279,37.56694826],[126.98551882,37.56670205],[126.98562106,37.5664349],[126.98565558,37.56615707]]]}"
6477141,2018091,1120011400,11200001  ,서울특별시 성동구1,서울특별시 성동구 성수동1가(동부간선도로강변북로 부근),3,3,0,1,1,1,127.0289729,37.54183637,"{""type"":""Polygon"",""coordinates"":[[[127.03076956,37.54183637],[127.03073504,37.54155846],[127.0306328,37.54129122],[127.03046677,37.54104492],[127.03024334,37.54082905],[127.02997108,37.54065188],[127.02966047,37.54052024],[127.02932343,37.54043917],[127.02897293,37.5404118],[127.02862242,37.54043917],[127.02828539,37.54052024],[127.02797477,37.54065188],[127.02770252,37.54082905],[127.02747908,37.54104492],[127.02731306,37.54129122],[127.02721082,37.54155846],[127.0271763,37.54183637],[127.02721082,37.54211429],[127.02731306,37.54238153],[127.02747908,37.54262782],[127.02770252,37.54284369],[127.02797477,37.54302085],[127.02828539,37.54315249],[127.02862242,37.54323355],[127.02897293,37.54326092],[127.02932343,37.54323355],[127.02966047,37.54315249],[127.02997108,37.54302085],[127.03024334,37.54284369],[127.03046677,37.54262782],[127.0306328,37.54238153],[127.03073504,37.54211429],[127.03076956,37.54183637]]]}"
6477112,2018091,1121510700,11215001  ,서울특별시 광진구1,서울특별시 광진구 화양동(건대입구역 부근),3,7,0,2,4,1,127.0711307,37.54129396,"{""type"":""Polygon"",""coordinates"":[[[127.07292728,37.54129396],[127.07289276,37.54101603],[127.07279052,37.54074879],[127.0726245,37.5405025],[127.07240106,37.54028662],[127.07212881,37.54010946],[127.07181819,37.53997781],[127.07148116,37.53989674],[127.07113065,37.53986937],[127.07078015,37.53989674],[127.07044311,37.53997781],[127.0701325,37.54010946],[127.06986024,37.54028662],[127.06963681,37.5405025],[127.06947078,37.54074879],[127.06936855,37.54101603],[127.06933402,37.54129396],[127.06936855,37.54157188],[127.06947078,37.54183911],[127.06963681,37.5420854],[127.06986024,37.54230127],[127.0701325,37.54247844],[127.07044311,37.54261008],[127.07078015,37.54269114],[127.07113065,37.54271852],[127.07148116,37.54269114],[127.07181819,37.54261008],[127.07212881,37.54247844],[127.07240106,37.54230127],[127.0726245,37.5420854],[127.07279052,37.54183911],[127.07289276,37.54157188],[127.07292728,37.54129396]]]}"
6477239,2018091,1123010600,11230001  ,서울특별시 동대문구1,서울특별시 동대문구 장안동(동부간선도로천호대로 부근),3,4,0,2,2,0,127.06982,37.56057813,"{""type"":""Polygon"",""coordinates"":[[[127.07161658,37.56057813],[127.07158206,37.56030028],[127.07147982,37.5600331],[127.07131379,37.55978688],[127.07109036,37.55957105],[127.07081811,37.55939393],[127.07050749,37.55926232],[127.07017046,37.55918127],[127.06981995,37.55915391],[127.06946945,37.55918127],[127.06913241,37.55926232],[127.0688218,37.55939393],[127.06854954,37.55957105],[127.06832611,37.55978688],[127.06816008,37.5600331],[127.06805784,37.56030028],[127.06802332,37.56057813],[127.06805784,37.56085597],[127.06816008,37.56112314],[127.06832611,37.56136937],[127.06854954,37.56158518],[127.0688218,37.5617623],[127.06913241,37.56189391],[127.06946945,37.56197495],[127.06981995,37.56200232],[127.07017046,37.56197495],[127.07050749,37.56189391],[127.07081811,37.5617623],[127.07109036,37.56158518],[127.07131379,37.56136937],[127.07147982,37.56112314],[127.07158206,37.56085597],[127.07161658,37.56057813]]]}"
6477425,2018091,1123010600,11230002  ,서울특별시 동대문구2,서울특별시 동대문구 장안동(장안유도관 부근),3,3,0,0,3,0,127.0627451,37.56692083,"{""type"":""Polygon"",""coordinates"":[[[127.06454172,37.56692083],[127.0645072,37.56664301],[127.06440496,37.56637586],[127.06423893,37.56612965],[127.0640155,37.56591385],[127.06374324,37.56573674],[127.06343263,37.56560514],[127.06309559,37.5655241],[127.06274509,37.56549674],[127.06239458,37.5655241],[127.06205755,37.56560514],[127.06174693,37.56573674],[127.06147468,37.56591385],[127.06125124,37.56612965],[127.06108522,37.56637586],[127.06098298,37.56664301],[127.06094846,37.56692083],[127.06098298,37.56719866],[127.06108522,37.56746581],[127.06125124,37.56771201],[127.06147468,37.56792781],[127.06174693,37.56810491],[127.06205755,37.5682365],[127.06239458,37.56831754],[127.06274509,37.5683449],[127.06309559,37.56831754],[127.06343263,37.5682365],[127.06374324,37.56810491],[127.0640155,37.56792781],[127.06423893,37.56771201],[127.06440496,37.56746581],[127.0645072,37.56719866],[127.06454172,37.56692083]]]}"
6477426,2018091,1132010700,11320001  ,서울특별시 도봉구1,서울특별시 도봉구 창동(영원교회(장로회) 부근),3,3,1,0,2,0,127.0357388,37.65547438,"{""type"":""Polygon"",""coordinates"":[[[127.03753547,37.65547438],[127.03750095,37.65519688],[127.03739871,37.65493005],[127.03723268,37.65468414],[127.03700925,37.65446859],[127.03673699,37.6542917],[127.03642638,37.65416025],[127.03608934,37.65407931],[127.03573884,37.65405198],[127.03538833,37.65407931],[127.0350513,37.65416025],[127.03474069,37.6542917],[127.03446843,37.65446859],[127.034245,37.65468414],[127.03407897,37.65493005],[127.03397673,37.65519688],[127.03394221,37.65547438],[127.03397673,37.65575187],[127.03407897,37.6560187],[127.034245,37.65626461],[127.03446843,37.65648015],[127.03474069,37.65665704],[127.0350513,37.65678848],[127.03538833,37.65686942],[127.03573884,37.65689675],[127.03608934,37.65686942],[127.03642638,37.65678848],[127.03673699,37.65665704],[127.03700925,37.65648015],[127.03723268,37.65626461],[127.03739871,37.6560187],[127.03750095,37.65575187],[127.03753547,37.65547438]]]}"
6477196,2018091,1135010500,11350001  ,서울특별시 노원구1,서울특별시 노원구 상계동(상계79단지 부근),4,7,0,0,6,1,127.0581322,37.66122577,"{""type"":""Polygon"",""coordinates"":[[[127.05992879,37.66122577],[127.05989427,37.6609483],[127.05979203,37.66068148],[127.059626,37.66043559],[127.05940257,37.66022006],[127.05913032,37.66004318],[127.0588197,37.65991174],[127.05848267,37.6598308],[127.05813216,37.65980348],[127.05778166,37.6598308],[127.05744462,37.65991174],[127.05713401,37.66004318],[127.05686175,37.66022006],[127.05663832,37.66043559],[127.05647229,37.66068148],[127.05637005,37.6609483],[127.05633553,37.66122577],[127.05637005,37.66150324],[127.05647229,37.66177005],[127.05663832,37.66201594],[127.05686175,37.66223147],[127.05713401,37.66240834],[127.05744462,37.66253977],[127.05778166,37.66262071],[127.05813216,37.66264803],[127.05848267,37.66262071],[127.0588197,37.66253977],[127.05913032,37.66240834],[127.05940257,37.66223147],[127.059626,37.66201594],[127.05979203,37.66177005],[127.05989427,37.66150324],[127.05992879,37.66122577]]]}"
6477428,2018091,1135010500,11350002  ,서울특별시 노원구2,서울특별시 노원구 상계동(노원지하차도남측 부근),3,7,0,1,5,1,127.0554936,37.6517415,"{""type"":""Polygon"",""coordinates"":[[[127.05729021,37.6517415],[127.05725569,37.65146399],[127.05715345,37.65119714],[127.05698742,37.65095122],[127.05676399,37.65073566],[127.05649173,37.65055875],[127.05618112,37.6504273],[127.05584408,37.65034635],[127.05549358,37.65031902],[127.05514307,37.65034635],[127.05480604,37.6504273],[127.05449542,37.65055875],[127.05422317,37.65073566],[127.05399973,37.65095122],[127.05383371,37.65119714],[127.05373147,37.65146399],[127.05369695,37.6517415],[127.05373147,37.652019],[127.05383371,37.65228585],[127.05399973,37.65253177],[127.05422317,37.65274732],[127.05449542,37.65292422],[127.05480604,37.65305567],[127.05514307,37.65313661],[127.05549358,37.65316394],[127.05584408,37.65313661],[127.05618112,37.65305567],[127.05649173,37.65292422],[127.05676399,37.65274732],[127.05698742,37.65253177],[127.05715345,37.65228585],[127.05725569,37.652019],[127.05729021,37.6517415]]]}"
6477427,2018091,1135010500,11350003  ,서울특별시 노원구3,서울특별시 노원구 상계동(노원역 부근),3,6,0,1,5,0,127.0604443,37.65450733,"{""type"":""Polygon"",""coordinates"":[[[127.06224095,37.65450733],[127.06220643,37.65422983],[127.06210419,37.65396299],[127.06193816,37.65371708],[127.06171473,37.65350153],[127.06144247,37.65332463],[127.06113186,37.65319318],[127.06079483,37.65311224],[127.06044432,37.65308491],[127.06009382,37.65311224],[127.05975678,37.65319318],[127.05944617,37.65332463],[127.05917391,37.65350153],[127.05895048,37.65371708],[127.05878445,37.65396299],[127.05868221,37.65422983],[127.05864769,37.65450733],[127.05868221,37.65478482],[127.05878445,37.65505166],[127.05895048,37.65529757],[127.05917391,37.65551311],[127.05944617,37.65569001],[127.05975678,37.65582145],[127.06009382,37.65590239],[127.06044432,37.65592972],[127.06079483,37.65590239],[127.06113186,37.65582145],[127.06144247,37.65569001],[127.06171473,37.65551311],[127.06193816,37.65529757],[127.06210419,37.65505166],[127.06220643,37.65478482],[127.06224095,37.65450733]]]}"
